iter	PRAUC	Logloss
0	0.9822731636	0.5873826119
1	0.9852709818	0.5267153448
2	0.9863662761	0.4661152962
3	0.9883846679	0.4075700348
4	0.990841801	0.3634311349
5	0.9930367185	0.3219121397
6	0.9932740132	0.2914799329
7	0.9937438404	0.2687904101
8	0.9943551185	0.2406621119
9	0.9946164143	0.2222157837
10	0.9949236467	0.2086545376
11	0.9950801284	0.1946107506
12	0.9953745683	0.18016043
13	0.9956965628	0.1709601423
14	0.9961846181	0.1593780699
15	0.9965302486	0.1483016368
16	0.9968395836	0.1413954653
17	0.9973022905	0.1339675793
18	0.9974930002	0.1286907343
19	0.9976664893	0.1238594775
20	0.9977441743	0.1199453597
21	0.9977967587	0.1164011711
22	0.9978499397	0.1134515753
23	0.9979501597	0.1089555404
24	0.9980082884	0.1057076871
25	0.9980789316	0.1023471149
26	0.9982237999	0.09841389048
27	0.9983143844	0.09687836558
28	0.9984172595	0.09317850555
29	0.9985057964	0.09031616515
30	0.9985574442	0.08813259594
31	0.9986024695	0.08607143319
32	0.998639227	0.08518960284
33	0.9986867277	0.08268132127
34	0.9987092989	0.081157667
35	0.9987703633	0.07938802616
36	0.9988242892	0.07683853914
37	0.9988599946	0.07481003044
38	0.9988888347	0.07356595447
39	0.998901765	0.07196750171
40	0.9989410079	0.06959420529
41	0.9989655401	0.06883694237
42	0.9989714947	0.06809513912
43	0.9989979433	0.06699739035
44	0.9990503684	0.06531143802
45	0.9990736681	0.06442609117
46	0.999086423	0.06340959194
47	0.9991157897	0.0622263983
48	0.9991165372	0.06177612531
49	0.9991409344	0.06049472961
50	0.9991608003	0.05988720285
51	0.9991709334	0.05821694932
52	0.9991818821	0.05752848505
53	0.999226557	0.05661598562
54	0.999226557	0.05656200418
55	0.9992550121	0.05490387192
56	0.9992897086	0.05303731014
57	0.9993188959	0.05185728931
58	0.9993304838	0.05100290598
59	0.9993520635	0.05023507331
60	0.9993584759	0.04962750525
61	0.9993731939	0.04884105183
62	0.9993734843	0.04878362464
63	0.9993867333	0.04784943156
64	0.9993875961	0.04670328153
65	0.999402735	0.04601042077
66	0.9994132892	0.04526767959
67	0.9994201475	0.044690955
68	0.9994381931	0.04385685921
69	0.9994381931	0.04381118364
70	0.9994537672	0.04301916332
71	0.9994604173	0.04205427169
72	0.9994682822	0.04133611135
73	0.9994942499	0.04008052785
74	0.9995065171	0.0392740842
75	0.9995134393	0.03839272479
76	0.9995348462	0.0377486771
77	0.9995470177	0.03664321386
78	0.9995604336	0.03581726135
79	0.9995623712	0.03570777687
80	0.9995773871	0.03492797654
81	0.9995928393	0.03446179029
82	0.9995946601	0.03414632012
83	0.999601137	0.03387981242
84	0.9996169474	0.03339495865
85	0.999620711	0.03304077515
86	0.9996339579	0.03242730414
87	0.9996420187	0.03177408463
88	0.9996487382	0.03132733511
89	0.9996495992	0.03094657328
90	0.9996560605	0.03049313388
91	0.9996594637	0.02967336013
92	0.9996687496	0.02915399883
93	0.9996744514	0.02892909939
94	0.9996800762	0.02802905816
95	0.999684548	0.02774446383
96	0.9996918746	0.02738810994
97	0.999697448	0.02702554823
98	0.9997002517	0.02653060815
99	0.9997037225	0.02608603844
100	0.9997100545	0.0254230149
101	0.9997118032	0.0249432682
102	0.9997119059	0.02490849901
103	0.9997213366	0.02445145579
104	0.9997274492	0.02399155126
105	0.9997265788	0.02396101957
106	0.9997298204	0.02373460005
107	0.9997306363	0.02360934482
108	0.9997391168	0.02307350848
109	0.9997425987	0.02268085784
110	0.9997446501	0.02265920634
111	0.9997473298	0.02192748405
112	0.9997479734	0.02169829348
113	0.9997624651	0.02147570863
114	0.999774688	0.02095541162
115	0.9997793183	0.02052917125
116	0.9997792739	0.02039998752
117	0.9997814871	0.02011046625
118	0.9997809308	0.01972519903
119	0.999779063	0.01939677765
120	0.9997957628	0.01912867709
121	0.9997961126	0.01881639191
122	0.9997992859	0.01852938274
123	0.9998015554	0.01819008855
124	0.999804367	0.01795794295
125	0.9998048525	0.01786009558
126	0.9998097716	0.01751836425
127	0.9998112704	0.01730650471
